"dat$maleBool";"s_fndly";"s_flirt";"s_awk";"s_assert";"o_fndly";"o_flirt";"o_awk";"o_assert";"o_attrct";"o_sincre";"o_intell";"o_funny";"o_ambits";"o_crteos";"sortOf";"kindOf";"iGuess";"iThink";"aLittle";"maybe";"possibly";"probably";"speeddate";"flirt";"event";"dating";"rating";"work";"program";"phd";"research";"professor";"advisor";"finish";"like";"iMean";"youKnow";"uh";"um";"syll_word";"syll_turn";"hedge";"academics";"funct";"pronoun";"ppron";"i";"we";"you";"shehe";"they";"ipron";"article";"verb";"auxverb";"past";"present";"future";"adverb";"preps";"conj";"negate";"quant";"number";"swear";"social";"family";"friend";"humans";"affect";"posemo";"negemo";"anx";"anger";"sad";"cogmech";"insight";"cause";"discrep";"tentat";"certain";"inhib";"incl";"excl";"percept";"see";"hear";"feel";"bio";"body";"health";"sexual";"ingest";"relativ";"motion";"space";"time";"work.1";"achieve";"leisure";"home";"money";"relig";"death";"assent";"nonfl";"filler";"Other.funct";"Other.pronoun";"Other.ppron";"Other.i";"Other.we";"Other.you";"Other.shehe";"Other.they";"Other.ipron";"Other.article";"Other.verb";"Other.auxverb";"Other.past";"Other.present";"Other.future";"Other.adverb";"Other.preps";"Other.conj";"Other.negate";"Other.quant";"Other.number";"Other.swear";"Other.social";"Other.family";"Other.friend";"Other.humans";"Other.affect";"Other.posemo";"Other.negemo";"Other.anx";"Other.anger";"Other.sad";"Other.cogmech";"Other.insight";"Other.cause";"Other.discrep";"Other.tentat";"Other.certain";"Other.inhib";"Other.incl";"Other.excl";"Other.percept";"Other.see";"Other.hear";"Other.feel";"Other.bio";"Other.body";"Other.health";"Other.sexual";"Other.ingest";"Other.relativ";"Other.motion";"Other.space";"Other.time";"Other.work.1";"Other.achieve";"Other.leisure";"Other.home";"Other.money";"Other.relig";"Other.death";"Other.assent";"Other.nonfl";"Other.filler"
"33";1;7;8;7;4;7;7;7;7;9;8;8;8;8;8;0;2;1;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;3;5;1.5;6.42857142857143;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;1;0;1;0;0;4;0;4;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;7;0;0;0;0;5;0;1;1;0;0;2;0;0
"36";1;10;10;6;7;10;8;7;6;10;10;10;9;8;9;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;20;1;1;6;7;1.54713804713805;4.73711340206186;5;1;0;0;2;2;0;0;1;1;0;1;0;0;0;0;1;0;0;0;4;0;0;1;0;0;1;1;2;2;0;1;0;0;6;0;3;1;0;0;1;0;3;2;0;4;0;0;0;0;1;0;10;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;4;0;0;4;0;0;2;1;0;2;1;0;0;0;2;0;6;2;0;0;1;1;2;0;0;3;0;0;0;1;0;0;6;0;0;0;2;5;0;3;1;1;0;1;0;0
"37";0;10;8;3;6;10;9;2;8;9;8;9;9;8;9;0;1;0;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;23;7;7;5;5;1.92281303602058;6.29775280898876;6;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;4;0;0;4;0;0;2;1;0;2;1;0;0;0;2;0;6;2;0;0;1;1;2;0;0;3;0;0;0;1;0;0;6;0;0;0;2;5;0;3;1;1;0;1;0;0;0;0;2;2;0;0;1;1;0;1;0;0;0;0;1;0;0;0;4;0;0;1;0;0;1;1;2;2;0;1;0;0;6;0;3;1;0;0;1;0;3;2;0;4;0;0;0;0;1;0;10;0;0;0;0;2;0;0;0;0;0;2;0;0
"38";1;10;1;2;6;7;7;7;7;3;4;5;5;5;5;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;17;1;0;2;1;1.45502645502646;7.05128205128205;2;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;3;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;3;0;0;0;2;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;0;0;5;0;2;1;0;0;1;0;1;0;0;3;0;1;0;0;1;0;6;0;0;0;1;5;0;0;0;0;0;0;0;0
"39";1;7;7;7;5;9;10;6;7;9;8;9;9;9;9;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;1.41450777202073;8.02941176470588;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;1;1;1;0;1;0;0;2;1;4;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;3;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;2;0;4;1;0;0;2;0;1;0;0;3;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0
"40";1;10;10;9;8;9;8;7;8;8;9;9;8;8;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;3;0;3;5;1.82926829268293;3.91304347826087;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;2;2;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;5;0;3;0;0;0;0;0;6;2;0;4;0;1;0;0;0;0;5;0;0;0;1;4;0;1;0;0;0;1;0;0
"41";1;10;9;7;9;8;8;6;8;8;7;8;7;8;7;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;11;2;1.42087542087542;4.48936170212766;3;0;0;1;0;1;2;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;3;0;1;3;1;2;1;0;0;0;1;4;0;0;0;0;0;0;0;1;0;3;0;0;0;1;4;0;0;0;0;2;0;0;0;0;1;0;1;0;0;4;2;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;4;1;2;0;0;0;1;1;6;0;0;3;0;0;1;1;0;0;5;0;0;0;2;2;0;0;0;0;1;1;0;0
"42";1;8;8;5;8;7;5;8;7;8;8;8;7;5;9;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;0;0;9;3;1.42296918767507;5.02970297029703;1;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;1;4;0;1;2;0;0;1;1;0;2;0;0;0;0;3;0;2;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0;7;0;0;0;0;4;0;1;1;1;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;1;0;0;6;0;2;0;0;0;1;0;6;1;1;3;0;0;0;0;1;0;7;0;0;0;1;3;0;1;0;0;2;1;0;0
"43";1;10;5;4;5;9;4;3;10;7;8;8;6;4;9;0;1;0;3;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;9;0;2;1;0;1.4525;6.91666666666667;4;2;0;0;2;3;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;1;0;0;0;2;0;5;1;0;0;0;1;4;2;0;4;0;0;0;0;0;0;2;0;0;0;0;4;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;4;0;3;2;0;0;0;0;4;1;1;1;0;0;0;0;0;0;6;0;0;0;2;8;0;1;1;0;2;2;0;0
"44";1;10;9;8;6;10;7;2;10;10;8;10;9;10;10;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;2;0;0;1.47727272727273;17.0238095238095;1;2;0;0;2;3;1;1;2;1;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;1;3;0;2;1;0;4;0;0;8;0;8;0;0;0;1;1;4;0;1;3;0;2;0;0;0;0;9;0;0;0;1;2;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0
