spkr,alter,hate,work,love,sex,drink,food,negemo,swear,sympathy,negate,hedge,meta,ntri,like,imean,youknow,you,appr,agree,restart,interrupt,mimiccontentraw,mimicfunc,mimicswbdnorm,mimicswbdcontnorm,laughmimic,rate,ratecorrelation,initlaugh,midlaugh,totalwords,i,uh,um,question,totalturns
122,114,0,10,5,0,0,0,1,0,0,4,2,0,0,1,2,1,3,0,0,0,0,29,22,0.008450,0.001132,0,3.095320,0.022640,0,0,335,21,0,0,10,39
115,122,0,6,1,0,0,0,2,0,0,6,6,0,0,1,1,3,5,0,0,0,0,36,24,0.016947,0.021378,0,2.890718,0.242417,0,0,394,30,0,0,10,37
122,115,0,2,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,43,36,0.051939,0.083908,0,2.421271,-0.251256,0,0,190,6,0,0,8,36
115,134,0,5,1,0,0,1,2,0,0,11,8,2,0,5,2,2,4,0,0,7,0,26,17,0.001377,0.000342,1,3.566544,-0.004546,5,1,411,27,1,0,11,75
134,115,0,6,1,0,0,0,1,0,0,8,1,0,0,4,1,1,3,0,0,2,0,33,21,0.022101,0.034393,0,2.304583,0.034134,0,1,265,16,1,1,6,74
116,122,0,4,0,0,0,5,6,0,0,17,6,0,0,14,1,1,4,0,1,0,0,30,23,0.003919,0.003059,0,3.430301,-0.223174,0,0,446,29,0,0,12,30
122,116,0,4,0,0,0,0,0,0,0,8,2,0,0,0,0,0,6,0,0,0,1,36,28,0.011661,0.034921,0,3.450388,-0.100189,0,0,200,19,0,0,1,30
116,132,0,4,0,0,0,0,1,0,0,6,6,2,0,14,1,2,9,0,0,16,0,20,15,0.033377,0.043343,0,3.480475,0.088582,0,0,440,20,1,5,17,50
132,116,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,4,2,0,4,2,15,10,0.020489,0.050006,0,2.475914,0.052535,3,1,154,8,0,0,9,49
116,134,0,12,0,0,0,0,4,0,0,10,6,0,0,19,1,3,5,1,0,12,0,24,21,0.000435,0.000437,0,3.829751,-0.211664,0,0,479,19,2,3,10,48
134,116,1,2,0,0,0,0,1,0,0,5,2,0,0,5,1,0,5,0,0,2,2,23,19,0.006773,0.008459,0,2.806911,-0.086005,0,0,203,9,2,0,12,47
117,122,0,2,4,0,0,0,3,0,1,3,2,0,0,3,0,0,5,3,0,0,0,45,32,0.007709,0.007948,0,2.806079,-0.097607,0,0,419,33,0,0,8,31
122,117,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,17,12,0.001758,0.002393,0,3.526987,0.067693,0,1,149,7,0,0,6,30
117,132,0,5,0,0,0,0,0,0,0,11,6,2,0,6,0,3,6,2,0,7,0,16,8,0.034223,0.032543,1,2.033658,0.260521,3,10,354,25,1,0,10,53
132,117,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,2,9,8,0.000293,0.000000,4,1.414431,0.428947,4,4,99,10,0,1,4,52
117,134,0,1,0,0,0,0,4,0,1,8,9,0,0,8,0,1,6,1,0,8,3,18,14,0.045382,0.068197,1,3.252689,0.113328,3,7,391,31,0,3,2,53
134,117,0,2,0,0,0,0,0,0,0,10,1,0,0,12,4,2,5,1,0,4,1,19,17,0.000268,0.000165,2,2.113961,0.135198,3,1,197,16,0,0,1,52
118,122,0,7,0,0,0,0,2,0,0,4,3,0,0,14,2,0,2,0,0,0,1,40,26,0.005888,0.002335,0,3.272472,0.027031,0,0,363,22,0,0,5,27
122,118,0,9,0,0,0,0,1,0,0,2,4,0,0,3,1,2,2,2,0,0,0,55,44,0.010821,0.009726,0,3.155684,-0.087664,0,0,322,19,0,0,6,27
118,132,0,7,0,0,0,0,2,0,0,13,2,0,0,6,3,0,4,1,0,10,1,18,13,0.000554,0.000000,0,2.715923,0.195318,3,3,399,23,5,1,9,48
132,118,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,6,0,19,10,0.010556,0.001744,1,2.694305,-0.124462,2,2,155,9,0,3,8,49
118,134,0,10,1,0,0,0,3,0,0,11,8,0,0,17,0,0,9,1,0,7,0,34,28,0.001832,0.001495,0,3.138153,0.032339,2,1,435,24,5,0,11,56
134,118,0,6,0,0,0,0,2,0,0,1,2,0,0,6,1,0,5,1,1,2,3,30,26,0.006937,0.009726,0,2.328652,0.234954,1,0,192,5,1,1,5,56
119,132,0,5,0,0,0,0,2,0,0,7,6,0,0,1,1,1,3,5,0,16,1,31,15,0.130245,0.294188,0,2.153811,-0.113732,0,0,461,31,3,0,20,74
132,119,0,4,0,0,0,0,0,1,0,5,2,0,0,2,0,4,2,1,0,8,3,23,10,0.059504,0.088472,0,1.823459,-0.167058,5,3,305,21,1,0,3,73
119,134,0,11,2,0,0,0,2,0,1,9,8,0,0,6,1,1,3,1,0,16,0,17,14,0.000680,0.004028,0,3.922002,-0.032738,0,0,468,18,4,1,13,70
134,119,0,3,1,0,0,0,3,0,0,2,2,0,0,2,1,1,0,0,0,2,2,17,15,0.000223,0.000066,0,2.389660,0.012349,0,0,213,10,0,1,10,70
101,121,0,5,0,0,0,0,0,0,0,2,4,0,0,1,1,3,3,0,0,2,1,41,26,0.005835,0.002233,0,3.421604,-0.294402,0,0,252,13,2,2,7,42
121,101,0,9,0,0,0,0,4,0,1,11,7,0,1,2,0,1,7,5,0,6,1,41,32,0.002027,0.001801,0,2.877897,0.069015,0,5,561,30,0,0,19,42
102,121,0,1,0,0,0,0,8,1,1,8,7,0,0,3,0,0,10,0,0,0,1,45,34,0.021100,0.015059,0,2.764578,0.387831,0,1,359,21,0,0,4,33
121,102,0,2,0,0,0,0,2,0,1,14,12,1,0,8,3,4,2,3,0,7,2,66,58,0.004103,0.001618,0,1.831772,0.310919,2,6,496,46,0,0,10,33
103,121,0,3,1,0,0,0,0,0,0,6,9,1,0,4,2,4,9,0,1,1,1,25,24,0.000127,0.000052,1,3.073231,-0.015730,1,1,321,16,0,0,7,49
121,103,0,3,0,0,0,0,1,0,0,6,4,2,0,5,1,0,9,1,1,5,2,21,17,0.000154,0.000029,0,2.821251,-0.137664,2,6,372,20,0,0,9,49
104,121,1,1,1,0,0,0,9,2,0,15,3,0,0,3,0,0,3,0,0,1,1,34,27,0.015629,0.005115,0,2.884458,0.101890,0,0,293,22,0,1,6,41
121,104,0,14,0,0,0,0,9,2,0,10,5,0,0,6,0,0,5,0,0,4,1,37,27,0.022134,0.022219,0,3.147619,0.229048,1,11,480,17,0,1,13,42
105,121,0,9,0,0,0,0,0,0,0,3,4,3,0,7,0,2,6,2,0,3,0,15,12,0.001040,0.001008,1,3.297494,-0.046776,5,0,387,18,1,0,4,43
121,105,0,11,0,0,2,0,4,0,1,9,1,1,0,4,2,1,9,5,2,5,3,40,33,0.001097,0.000249,0,2.679806,0.079473,2,4,420,18,0,0,8,44
106,121,0,4,0,0,3,0,1,0,0,9,9,0,0,5,0,0,5,0,1,3,6,23,20,0.000410,0.000203,1,2.815158,-0.117474,1,0,281,9,4,0,4,53
121,106,0,7,0,0,0,0,1,0,0,3,8,0,0,10,2,0,8,0,0,6,3,30,20,0.022569,0.048039,0,2.991846,-0.097813,2,4,528,17,1,2,9,53
107,121,0,6,1,0,5,0,3,0,0,11,4,0,0,7,0,2,2,1,0,4,2,39,30,0.037929,0.001801,0,3.176702,0.110538,0,2,427,26,0,0,5,43
121,107,0,2,0,0,2,0,2,0,0,5,3,0,0,3,0,0,4,2,1,7,3,30,23,0.004308,0.004506,0,2.811687,-0.144162,1,6,337,6,0,1,13,43
108,121,0,6,0,0,0,0,2,0,0,5,1,1,0,9,0,1,5,0,0,5,2,30,23,0.010288,0.008795,1,2.731559,-0.130913,0,2,283,12,1,1,8,39
121,108,0,8,0,0,0,0,1,0,0,8,5,0,0,1,1,1,7,1,0,6,7,32,22,0.003469,0.004695,0,3.227492,-0.109325,2,4,474,24,0,1,3,40
109,121,0,7,0,0,0,0,2,0,0,2,0,0,0,5,1,0,4,0,0,1,0,53,43,0.128845,0.029477,0,3.970219,-0.238142,0,0,242,5,4,0,15,32
121,109,0,19,0,0,0,0,4,0,0,9,10,0,0,3,1,1,0,1,0,2,0,63,41,0.032177,0.030913,0,2.658006,0.032608,2,3,540,8,1,7,6,32
110,121,0,8,0,0,0,0,1,0,0,6,0,0,0,11,3,3,3,0,0,3,0,47,38,0.040378,0.090802,1,3.256211,0.011940,1,2,325,20,0,0,8,37
121,110,0,12,0,0,0,0,3,0,0,8,7,1,0,5,0,1,5,0,0,6,0,35,28,0.001428,0.000026,1,3.132026,-0.114852,2,3,493,21,4,3,13,38
111,121,0,8,0,0,0,1,1,0,0,9,11,0,0,30,3,12,5,2,0,5,0,42,35,0.001304,0.001232,0,3.396213,-0.207655,0,1,482,22,3,2,7,42
121,111,0,7,0,0,0,0,8,0,0,5,3,1,0,7,1,3,6,0,4,2,4,65,53,0.005434,0.000450,0,2.565411,-0.060463,1,5,466,29,0,3,5,43
112,121,0,8,0,1,0,0,1,0,0,5,0,2,0,6,0,8,2,0,0,2,1,31,23,0.009927,0.001631,3,2.579939,0.285104,1,3,263,10,0,0,1,37
121,112,0,11,0,0,0,0,2,0,0,4,4,1,0,1,0,0,2,2,1,3,1,39,26,0.001913,0.001646,4,2.563333,0.280970,7,6,356,10,3,3,18,38
